run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,num_robots,num_ts_regions,total_computation_time_ms,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,task_allocation_memory_bytes,product_automaton_memory_bytes,product_automaton_nodes,product_automaton_edges,pruning_ratio,explored_product_ratio,tree_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
33,1,"2026-09-08 10:20:21",1,15,3,8,15,6,0.601,6,11,5,1,0,0,0,0,0.454545,0,61,10,0.666667,0
34,1,"2026-09-08 10:20:21",2,15,6,14,15,6,1.215,11,23,12,1,0,0,0,0,0.521739,0,229,12,0.8,0
35,1,"2026-09-08 10:20:21",3,15,10,58,15,6,2.575,19,51,32,2,0,0,0,0,0.627451,0,360,15,1,0
36,1,"2026-09-08 10:20:21",4,15,16,142,15,6,8.882,38,188,150,9,0,0,0,0,0.797872,0,160,12,0.8,0
37,1,"2026-09-08 10:20:21",5,15,20,200,15,6,7.144,39,111,72,2,0,0,0,0,0.648649,0,629,10,0.666667,0
38,1,"2026-09-08 10:20:21",6,15,27,226,15,6,9.118,53,153,100,6,0,0,0,0,0.653595,0,331,14,0.933333,0
39,1,"2026-09-08 10:20:30",7,15,38,252,15,6,15.165,70,165,95,1,0,0,0,0,0.575758,0,634,14,0.933333,0
40,1,"2026-09-08 10:20:30",8,15,39,350,15,6,18.495,71,235,164,6,0,0,0,0,0.697872,0,317,11,0.733333,0
41,1,"2026-09-08 10:20:45",9,15,40,357,15,6,17.039,63,205,142,6,0,0,0,0,0.692683,0,320,11,0.733333,0
42,1,"2026-09-08 10:20:45",10,15,43,378,15,6,18.547,66,216,150,6,0,0,0,0,0.694444,0,320,12,0.8,0
43,1,"2026-09-08 10:20:47",11,15,55,544,15,6,35.18,98,337,239,9,0,0,0,0,0.709199,0,474,15,1,0
44,1,"2026-09-08 10:20:52",12,15,61,598,15,6,38.493,104,359,255,9,0,0,0,0,0.710306,0,474,15,1,0
45,1,"2026-09-08 10:20:52",13,15,96,1458,15,6,83.114,101,410,309,6,0,0,0,0,0.753659,0,160,14,0.933333,0
46,1,"2026-09-08 10:20:53",14,15,128,2187,15,6,155.587,134,588,454,7,0,0,0,0,0.772109,0,160,14,0.933333,0
47,1,"2026-09-08 10:20:53",15,15,192,4374,15,6,438.02,198,908,710,7,0,0,0,0,0.781938,0,200,14,0.933333,0
48,1,"2026-09-08 10:20:54",16,15,256,6561,15,6,855.658,263,1294,1031,8,0,0,0,0,0.796754,0,200,14,0.933333,0
