run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
1,1,"2026-09-14 20:02:37",1,3,3,8,4,3,3,3,3,1,1,6,6,11,5,1,0.454545,275,39875,0.04,0,14.4531,2.543,563.236,710,279,3,1,0
2,1,"2026-09-14 20:02:38",2,3,6,14,8,3,3,3,3,1,1,6,11,23,12,1,0.521739,288,25917,0.0798611,0,0,0.306,328.49,909,572,3,1,0
3,1,"2026-09-14 20:02:38",3,3,10,58,11,3,3,3,3,1,1,6,19,51,32,2,0.627451,167,7682,0.305389,0,0,0.979,103.083,1304,741,3,1,0
4,1,"2026-09-14 20:02:38",4,3,16,142,10,3,3,3,3,1,1,6,38,188,150,9,0.797872,145,6670,1.29655,0,0,4.271,79.1872,669,579,3,1,0
5,1,"2026-09-14 20:02:38",5,3,20,200,13,2,3,3,3,1,1,6,39,111,72,2,0.648649,109,1853,1.01835,0,0,4.167,20.319,2658,1292,2,0.666667,0
6,1,"2026-09-14 20:02:38",6,3,27,226,22,3,3,3,3,1,1,6,53,153,100,6,0.653595,272,10081,0.5625,0,0,6.378,91.1596,1014,484,3,1,0
7,1,"2026-09-14 20:02:45",7,3,38,233,29,3,3,3,3,1,1,6,72,166,94,2,0.566265,107,890,1.5514,0,0,9.418,13.2913,2673,2193,3,1,0
8,1,"2026-09-14 20:02:45",8,3,39,350,17,3,3,3,3,1,1,6,71,235,164,6,0.697872,208,5906,1.12981,0,0,12.666,51.6342,1037,796,3,1,0
9,1,"2026-09-14 20:02:59",9,3,40,357,21,3,3,3,3,1,1,6,63,205,142,6,0.692683,212,5922,0.966981,0,0,11.705,57.6236,1026,935,3,1,0
10,1,"2026-09-14 20:02:59",10,3,43,378,24,3,3,3,3,1,1,6,66,216,150,6,0.694444,255,7066,0.847059,0,0,12.826,73.7743,1157,935,3,1,0
11,1,"2026-09-14 20:03:01",11,3,55,544,28,3,3,3,3,1,1,6,98,337,239,9,0.709199,287,7921,1.17422,0,0,46.841,107.803,1937,806,3,1,0
12,1,"2026-09-14 20:03:05",12,3,61,598,30,3,3,3,3,1,1,6,104,359,255,9,0.710306,264,5342,1.35985,0,0,28.687,63.9255,2094,914,3,1,0
13,1,"2026-09-14 20:03:05",13,3,96,1458,16,3,3,3,3,1,1,6,101,410,309,6,0.753659,232,5112,1.76724,0,0,58.124,42.6586,682,610,3,1,0
14,1,"2026-09-14 20:03:05",14,3,128,2187,16,3,3,3,3,1,1,6,134,588,454,7,0.772109,304,6992,1.93421,0,0,113.97,57.3166,682,610,3,1,0
15,1,"2026-09-14 20:03:06",15,3,192,4374,18,3,3,3,3,1,1,6,198,908,710,7,0.781938,232,5112,3.91379,0,0,333.977,45.015,882,610,3,1,0
16,1,"2026-09-14 20:03:07",16,3,256,6561,18,3,3,3,3,1,1,6,263,1294,1031,8,0.796754,304,6992,4.25658,0,0,651.447,61.8335,882,610,3,1,0
