config_id,automaton_id,num_robots,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,15,1,0.412,0,0.412,0.412
1,1,3,1,1.237,0,1.237,1.237
2,1,45,1,0.312,0,0.312,0.312
3,1,6,1,0.324,0,0.324,0.324
4,10,15,1,14.229,0,14.229,14.229
5,10,3,1,12.082,0,12.082,12.082
6,10,45,1,15.598,0,15.598,15.598
7,10,6,1,13.447,0,13.447,13.447
8,11,15,1,26.459,0,26.459,26.459
9,11,3,1,25.344,0,25.344,25.344
10,11,45,1,28.609,0,28.609,28.609
11,11,6,1,26.247,0,26.247,26.247
12,12,15,1,34.722,0,34.722,34.722
13,12,3,1,26.665,0,26.665,26.665
14,12,45,1,33.554,0,33.554,33.554
15,12,6,1,30.227,0,30.227,30.227
16,13,15,1,70.945,0,70.945,70.945
17,13,3,1,56.572,0,56.572,56.572
18,13,45,1,65.467,0,65.467,65.467
19,13,6,1,63.846,0,63.846,63.846
20,14,15,1,135.306,0,135.306,135.306
21,14,3,1,109.577,0,109.577,109.577
22,14,45,1,120.415,0,120.415,120.415
23,14,6,1,123.64,0,123.64,123.64
24,15,15,1,393.651,0,393.651,393.651
25,15,3,1,343.727,0,343.727,343.727
26,15,45,1,358.444,0,358.444,358.444
27,15,6,1,348.04,0,348.04,348.04
28,16,15,1,799.297,0,799.297,799.297
29,16,3,1,688.061,0,688.061,688.061
30,16,45,1,713.888,0,713.888,713.888
31,16,6,1,667.348,0,667.348,667.348
32,2,15,1,0.863,0,0.863,0.863
33,2,3,1,0.311,0,0.311,0.311
34,2,45,1,0.659,0,0.659,0.659
35,2,6,1,0.685,0,0.685,0.685
36,3,15,1,1.648,0,1.648,1.648
37,3,3,1,0.913,0,0.913,0.913
38,3,45,1,1.796,0,1.796,1.796
39,3,6,1,1.5,0,1.5,1.5
40,4,15,1,6.371,0,6.371,6.371
41,4,3,1,4.013,0,4.013,4.013
42,4,45,1,8.891,0,8.891,8.891
43,4,6,1,4.44,0,4.44,4.44
44,5,15,1,4.815,0,4.815,4.815
45,5,3,1,5.068,0,5.068,5.068
46,5,45,1,6.29,0,6.29,6.29
47,5,6,1,4.225,0,4.225,4.225
48,6,15,1,6.965,0,6.965,6.965
49,6,3,1,6.396,0,6.396,6.396
50,6,45,1,9.081,0,9.081,9.081
51,6,6,1,6.257,0,6.257,6.257
52,7,15,1,10.604,0,10.604,10.604
53,7,3,1,8.62,0,8.62,8.62
54,7,45,1,10.844,0,10.844,10.844
55,7,6,1,10.289,0,10.289,10.289
56,8,15,1,13.62,0,13.62,13.62
57,8,3,1,14.079,0,14.079,14.079
58,8,45,1,15.31,0,15.31,15.31
59,8,6,1,13.046,0,13.046,13.046
60,9,15,1,14.803,0,14.803,14.803
61,9,3,1,11.648,0,11.648,11.648
62,9,45,1,13.665,0,13.665,13.665
63,9,6,1,15.078,0,15.078,15.078
