run_id,trial_number,timestamp,Batch_Configuration,automaton_id,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
49,1,"2026-09-13 21:52:41",4,1,3,8,6,3,45,3,3,0.0666667,0.0666667,6,6,11,5,1,0.454545,0,0,0,0,0,0.663,0,268,0,9,0.2,0
50,1,"2026-09-13 21:52:42",4,2,6,14,12,3,45,3,3,0.0666667,0.0666667,6,11,23,12,1,0.521739,0,0,0,0,0,0.898,0,363,0,12,0.266667,0
51,1,"2026-09-13 21:52:42",4,3,10,58,15,3,45,3,3,0.0666667,0.0666667,6,19,51,32,2,0.627451,0,0,0,0,0,1.763,0,477,0,21,0.466667,0
52,1,"2026-09-13 21:52:44",4,4,16,142,15,3,45,3,3,0.0666667,0.0666667,6,38,188,150,9,0.797872,0,0,0,0,0,13.256,0,478,0,6,0.133333,0
53,1,"2026-09-13 21:52:44",4,5,20,200,30,3,45,3,3,0.0666667,0.0666667,6,39,111,72,2,0.648649,0,0,0,0,0,5.962,0,479,0,39,0.866667,0
54,1,"2026-09-13 21:52:45",4,6,27,226,30,3,45,3,3,0.0666667,0.0666667,6,53,153,100,6,0.653595,0,0,0,0,0,9.236,0,266,0,33,0.733333,0
55,1,"2026-09-13 21:52:45",4,7,38,252,54,3,45,3,3,0.0666667,0.0666667,6,70,165,95,1,0.575758,0,0,0,0,0,11.808,0,548,0,39,0.866667,0
56,1,"2026-09-13 21:52:45",4,8,39,350,24,3,45,3,3,0.0666667,0.0666667,6,71,235,164,6,0.697872,0,0,0,0,0,16.454,0,474,0,15,0.333333,0
57,1,"2026-09-13 21:52:45",4,9,40,357,30,3,45,3,3,0.0666667,0.0666667,6,63,205,142,6,0.692683,0,0,0,0,0,14.978,0,305,0,20,0.444444,0
58,1,"2026-09-13 21:52:45",4,10,43,378,33,3,45,3,3,0.0666667,0.0666667,6,66,216,150,6,0.694444,0,0,0,0,0,16.484,0,274,0,21,0.466667,0
59,1,"2026-09-13 21:52:47",4,11,55,544,39,3,45,3,3,0.0666667,0.0666667,6,98,337,239,9,0.709199,0,0,0,0,0,31.414,0,870,0,27,0.6,0
60,1,"2026-09-13 21:52:52",4,12,61,598,42,3,45,3,3,0.0666667,0.0666667,6,104,359,255,9,0.710306,0,0,0,0,0,36.5,0,870,0,27,0.6,0
61,1,"2026-09-13 21:52:53",4,13,96,1458,21,3,45,3,3,0.0666667,0.0666667,6,101,410,309,6,0.753659,0,0,0,0,0,69.618,0,666,0,9,0.2,0
62,1,"2026-09-13 21:52:53",4,14,128,2187,21,3,45,3,3,0.0666667,0.0666667,6,134,588,454,7,0.772109,0,0,0,0,0,135.652,0,666,0,9,0.2,0
63,1,"2026-09-13 21:52:55",4,15,192,4374,24,3,45,3,3,0.0666667,0.0666667,6,198,908,710,7,0.781938,0,0,0,0,0,372.421,0,779,0,9,0.2,0
64,1,"2026-09-13 21:52:56",4,16,256,6561,24,3,45,3,3,0.0666667,0.0666667,6,263,1294,1031,8,0.796754,0,0,0,0,0,734.711,0,779,0,9,0.2,0
