config_id,Batch_Configuration,automaton_id,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,1,1,1.451,0,1.451,1.451
1,1,10,1,16.035,0,16.035,16.035
2,1,11,1,30.265,0,30.265,30.265
3,1,12,1,38.596,0,38.596,38.596
4,1,13,1,70.692,0,70.692,70.692
5,1,14,1,147.643,0,147.643,147.643
6,1,15,1,375.454,0,375.454,375.454
7,1,16,1,744.236,0,744.236,744.236
8,1,2,1,0.883,0,0.883,0.883
9,1,3,1,1.928,0,1.928,1.928
10,1,4,1,8.622,0,8.622,8.622
11,1,5,1,5.991,0,5.991,5.991
12,1,6,1,8.529,0,8.529,8.529
13,1,7,1,10.688,0,10.688,10.688
14,1,8,1,16.515,0,16.515,16.515
15,1,9,1,14.397,0,14.397,14.397
16,2,1,1,0.77,0,0.77,0.77
17,2,10,1,15.77,0,15.77,15.77
18,2,11,1,31.737,0,31.737,31.737
19,2,12,1,35.354,0,35.354,35.354
20,2,13,1,67.677,0,67.677,67.677
21,2,14,1,142.255,0,142.255,142.255
22,2,15,1,371.615,0,371.615,371.615
23,2,16,1,733.58,0,733.58,733.58
24,2,2,1,1.477,0,1.477,1.477
25,2,3,1,3.312,0,3.312,3.312
26,2,4,1,9.296,0,9.296,9.296
27,2,5,1,5.469,0,5.469,5.469
28,2,6,1,8.247,0,8.247,8.247
29,2,7,1,11.322,0,11.322,11.322
30,2,8,1,16.158,0,16.158,16.158
31,2,9,1,15.172,0,15.172,15.172
32,3,1,1,0.662,0,0.662,0.662
33,3,10,1,16.526,0,16.526,16.526
34,3,11,1,33.383,0,33.383,33.383
35,3,12,1,35.573,0,35.573,35.573
36,3,13,1,71.278,0,71.278,71.278
37,3,14,1,136.074,0,136.074,136.074
38,3,15,1,369.845,0,369.845,369.845
39,3,16,1,737.274,0,737.274,737.274
40,3,2,1,1.431,0,1.431,1.431
41,3,3,1,2.158,0,2.158,2.158
42,3,4,1,8.086,0,8.086,8.086
43,3,5,1,5.647,0,5.647,5.647
44,3,6,1,8.309,0,8.309,8.309
45,3,7,1,11.543,0,11.543,11.543
46,3,8,1,16.542,0,16.542,16.542
47,3,9,1,15.34,0,15.34,15.34
48,4,1,1,0.708,0,0.708,0.708
49,4,10,1,16.781,0,16.781,16.781
50,4,11,1,34.397,0,34.397,34.397
51,4,12,1,35.433,0,35.433,35.433
52,4,13,1,70.677,0,70.677,70.677
53,4,14,1,134.341,0,134.341,134.341
54,4,15,1,368.146,0,368.146,368.146
55,4,16,1,740.96,0,740.96,740.96
56,4,2,1,0.583,0,0.583,0.583
57,4,3,1,1.6,0,1.6,1.6
58,4,4,1,8.172,0,8.172,8.172
59,4,5,1,5.86,0,5.86,5.86
60,4,6,1,8.577,0,8.577,8.577
61,4,7,1,11.763,0,11.763,11.763
62,4,8,1,17.371,0,17.371,17.371
63,4,9,1,15.442,0,15.442,15.442
