config_id,automaton_id,average_capabilities,num_robots,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,0.500000,10,1,0.491,0,0.491,0.491
1,1,0.500000,16,1,0.449,0,0.449,0.449
2,1,0.500000,6,1,3.354,0,3.354,3.354
3,1,1.000000,10,1,0.554,0,0.554,0.554
4,1,1.000000,16,1,0.644,0,0.644,0.644
5,1,1.000000,6,1,0.249,0,0.249,0.249
6,1,1.500000,10,1,0.504,0,0.504,0.504
7,1,1.500000,16,1,0.618,0,0.618,0.618
8,1,1.500000,6,1,0.39,0,0.39,0.39
9,1,2.000000,10,1,0.567,0,0.567,0.567
10,1,2.000000,16,1,0.843,0,0.843,0.843
11,1,2.000000,6,1,0.385,0,0.385,0.385
12,1,2.500000,10,1,0.613,0,0.613,0.613
13,1,2.500000,16,1,0.603,0,0.603,0.603
14,1,2.500000,6,1,0.346,0,0.346,0.346
15,1,3.000000,10,1,0.453,0,0.453,0.453
16,1,3.000000,16,1,0.614,0,0.614,0.614
17,1,3.000000,6,1,0.508,0,0.508,0.508
18,1,3.500000,10,1,0.498,0,0.498,0.498
19,1,3.500000,16,1,0.694,0,0.694,0.694
20,1,3.500000,6,1,0.399,0,0.399,0.399
21,1,4.000000,10,1,0.406,0,0.406,0.406
22,1,4.000000,16,1,0.704,0,0.704,0.704
23,1,4.000000,6,1,0.262,0,0.262,0.262
24,2,0.500000,10,1,0.492,0,0.492,0.492
25,2,0.500000,16,1,0.669,0,0.669,0.669
26,2,0.500000,6,1,0.671,0,0.671,0.671
27,2,1.000000,10,1,0.526,0,0.526,0.526
28,2,1.000000,16,1,0.61,0,0.61,0.61
29,2,1.000000,6,1,0.599,0,0.599,0.599
30,2,1.500000,10,1,0.994,0,0.994,0.994
31,2,1.500000,16,1,0.569,0,0.569,0.569
32,2,1.500000,6,1,0.62,0,0.62,0.62
33,2,2.000000,10,1,0.453,0,0.453,0.453
34,2,2.000000,16,1,0.578,0,0.578,0.578
35,2,2.000000,6,1,0.387,0,0.387,0.387
36,2,2.500000,10,1,0.469,0,0.469,0.469
37,2,2.500000,16,1,0.56,0,0.56,0.56
38,2,2.500000,6,1,1.107,0,1.107,1.107
39,2,3.000000,10,1,0.456,0,0.456,0.456
40,2,3.000000,16,1,0.574,0,0.574,0.574
41,2,3.000000,6,1,0.889,0,0.889,0.889
42,2,3.500000,10,1,0.439,0,0.439,0.439
43,2,3.500000,16,1,0.6,0,0.6,0.6
44,2,3.500000,6,1,0.895,0,0.895,0.895
45,2,4.000000,10,1,0.435,0,0.435,0.435
46,2,4.000000,16,1,0.656,0,0.656,0.656
47,2,4.000000,6,1,0.71,0,0.71,0.71
48,3,0.500000,10,1,1.476,0,1.476,1.476
49,3,0.500000,16,1,1.706,0,1.706,1.706
50,3,0.500000,6,1,1.119,0,1.119,1.119
51,3,1.000000,10,1,1.428,0,1.428,1.428
52,3,1.000000,16,1,1.646,0,1.646,1.646
53,3,1.000000,6,1,1.124,0,1.124,1.124
54,3,1.500000,10,1,1.507,0,1.507,1.507
55,3,1.500000,16,1,1.725,0,1.725,1.725
56,3,1.500000,6,1,1.094,0,1.094,1.094
57,3,2.000000,10,1,1.347,0,1.347,1.347
58,3,2.000000,16,1,1.699,0,1.699,1.699
59,3,2.000000,6,1,1.093,0,1.093,1.093
60,3,2.500000,10,1,1.391,0,1.391,1.391
61,3,2.500000,16,1,1.676,0,1.676,1.676
62,3,2.500000,6,1,1.16,0,1.16,1.16
63,3,3.000000,10,1,1.372,0,1.372,1.372
64,3,3.000000,16,1,1.742,0,1.742,1.742
65,3,3.000000,6,1,1.247,0,1.247,1.247
66,3,3.500000,10,1,1.361,0,1.361,1.361
