config_id,automaton_id,num_robots,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,12,1,0.601,0,0.601,0.601
1,1,18,1,0.421,0,0.421,0.421
2,1,24,1,0.537,0,0.537,0.537
3,1,3,1,0.352,0,0.352,0.352
4,1,30,1,0.459,0,0.459,0.459
5,1,36,1,0.371,0,0.371,0.371
6,1,45,1,0.66,0,0.66,0.66
7,1,6,1,0.384,0,0.384,0.384
8,2,12,1,1.003,0,1.003,1.003
9,2,18,1,0.756,0,0.756,0.756
10,2,24,1,0.793,0,0.793,0.793
11,2,3,1,0.81,0,0.81,0.81
12,2,30,1,0.563,0,0.563,0.563
13,2,36,1,0.568,0,0.568,0.568
14,2,45,1,0.611,0,0.611,0.611
15,2,6,1,0.963,0,0.963,0.963
16,3,12,1,2.408,0,2.408,2.408
17,3,18,1,1.548,0,1.548,1.548
18,3,24,1,1.406,0,1.406,1.406
19,3,3,1,2.471,0,2.471,2.471
20,3,30,1,1.68,0,1.68,1.68
21,3,36,1,1.595,0,1.595,1.595
22,3,45,1,1.719,0,1.719,1.719
23,3,6,1,2.752,0,2.752,2.752
24,4,12,1,6.25,0,6.25,6.25
25,4,18,1,6.622,0,6.622,6.622
26,4,24,1,7.456,0,7.456,7.456
27,4,3,1,6.929,0,6.929,6.929
28,4,30,1,8.14,0,8.14,8.14
29,4,36,1,8.875,0,8.875,8.875
30,4,45,1,9.622,0,9.622,9.622
31,4,6,1,4.9,0,4.9,4.9
32,5,12,1,7.14,0,7.14,7.14
33,5,18,1,7.62,0,7.62,7.62
34,5,24,1,8.044,0,8.044,8.044
35,5,3,1,6.373,0,6.373,6.373
36,5,30,1,8.582,0,8.582,8.582
37,5,36,1,9.329,0,9.329,9.329
38,5,45,1,9.734,0,9.734,9.734
39,5,6,1,6.608,0,6.608,6.608
40,6,12,1,14.38,0,14.38,14.38
41,6,18,1,14.762,0,14.762,14.762
42,6,24,1,15.257,0,15.257,15.257
43,6,3,1,12.515,0,12.515,12.515
44,6,30,1,15.889,0,15.889,15.889
45,6,36,1,16.305,0,16.305,16.305
46,6,45,1,16.977,0,16.977,16.977
47,6,6,1,13.262,0,13.262,13.262
48,7,12,1,14.366,0,14.366,14.366
49,7,18,1,14.965,0,14.965,14.965
50,7,24,1,15.517,0,15.517,15.517
51,7,3,1,12.966,0,12.966,12.966
52,7,30,1,16.041,0,16.041,16.041
53,7,36,1,16.222,0,16.222,16.222
54,7,45,1,17.548,0,17.548,17.548
55,7,6,1,13.515,0,13.515,13.515
56,8,12,1,31.025,0,31.025,31.025
57,8,18,1,34.774,0,34.774,34.774
58,8,24,1,34.045,0,34.045,34.045
59,8,3,1,29.839,0,29.839,29.839
60,8,30,1,35.028,0,35.028,35.028
61,8,36,1,35.874,0,35.874,35.874
62,8,45,1,36.929,0,36.929,36.929
63,8,6,1,29.726,0,29.726,29.726
