config_id,automaton_id,num_robots,robot_homogeneity,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,10,0.400000,1,0.47,0,0.47,0.47
1,1,10,0.600000,1,0.213,0,0.213,0.213
2,1,10,0.800000,1,0.385,0,0.385,0.385
3,1,10,1.000000,1,0.4,0,0.4,0.4
4,1,10,1.200000,1,0.215,0,0.215,0.215
5,1,16,0.250000,1,0.367,0,0.367,0.367
6,1,16,0.375000,1,0.376,0,0.376,0.376
7,1,16,0.500000,1,0.409,0,0.409,0.409
8,1,16,0.625000,1,0.291,0,0.291,0.291
9,1,16,0.750000,1,0.432,0,0.432,0.432
10,1,6,0.600000,1,2.929,0,2.929,2.929
11,1,6,0.800000,1,0.265,0,0.265,0.265
12,1,6,1.000000,1,0.226,0,0.226,0.226
13,1,6,1.200000,1,0.309,0,0.309,0.309
14,1,6,1.400000,1,0.283,0,0.283,0.283
15,1,6,1.600000,1,0.359,0,0.359,0.359
16,1,6,1.800000,1,0.356,0,0.356,0.356
17,1,6,2.000000,1,0.164,0,0.164,0.164
18,2,10,0.600000,1,0.786,0,0.786,0.786
19,2,10,0.800000,1,0.363,0,0.363,0.363
20,2,10,1.000000,1,0.437,0,0.437,0.437
21,2,10,1.200000,1,0.516,0,0.516,0.516
22,2,16,0.375000,1,0.373,0,0.373,0.373
23,2,16,0.500000,1,0.581,0,0.581,0.581
24,2,16,0.625000,1,0.352,0,0.352,0.352
25,2,16,0.750000,1,0.573,0,0.573,0.573
26,2,6,1.000000,1,0.763,0,0.763,0.763
27,2,6,1.200000,1,0.842,0,0.842,0.842
28,2,6,1.400000,1,0.799,0,0.799,0.799
29,2,6,1.600000,1,0.499,0,0.499,0.499
30,2,6,1.800000,1,0.348,0,0.348,0.348
31,2,6,2.000000,1,0.314,0,0.314,0.314
32,3,10,0.600000,1,1.085,0,1.085,1.085
33,3,10,0.800000,1,1.062,0,1.062,1.062
34,3,10,1.000000,1,1.085,0,1.085,1.085
35,3,10,1.200000,1,1.448,0,1.448,1.448
36,3,16,0.375000,1,1.161,0,1.161,1.161
37,3,16,0.500000,1,1.139,0,1.139,1.139
38,3,16,0.625000,1,1.128,0,1.128,1.128
39,3,16,0.750000,1,1.165,0,1.165,1.165
40,3,6,1.000000,1,1.09,0,1.09,1.09
41,3,6,1.200000,1,1.054,0,1.054,1.054
42,3,6,1.400000,1,1.149,0,1.149,1.149
43,3,6,1.600000,1,1.067,0,1.067,1.067
44,3,6,1.800000,1,1.041,0,1.041,1.041
45,3,6,2.000000,1,1.051,0,1.051,1.051
46,4,10,0.800000,1,2.269,0,2.269,2.269
47,4,10,1.000000,1,2.383,0,2.383,2.383
48,4,10,1.200000,1,2.343,0,2.343,2.343
49,4,16,0.500000,1,2.5,0,2.5,2.5
50,4,16,0.625000,1,2.716,0,2.716,2.716
51,4,16,0.750000,1,2.512,0,2.512,2.512
52,4,6,1.400000,1,2.162,0,2.162,2.162
53,4,6,1.600000,1,2.142,0,2.142,2.142
54,4,6,1.800000,1,2.698,0,2.698,2.698
55,4,6,2.000000,1,2.139,0,2.139,2.139
56,5,10,1.000000,1,4.77,0,4.77,4.77
57,5,10,1.200000,1,4.738,0,4.738,4.738
58,5,16,0.625000,1,5.002,0,5.002,5.002
59,5,16,0.750000,1,4.925,0,4.925,4.925
60,5,6,1.600000,1,4.597,0,4.597,4.597
61,5,6,1.800000,1,4.622,0,4.622,4.622
62,5,6,2.000000,1,4.581,0,4.581,4.581
63,6,10,1.200000,1,7.579,0,7.579,7.579
64,6,16,0.750000,1,7.856,0,7.856,7.856
65,6,6,2.000000,1,7.291,0,7.291,7.291
