config_id,automaton_id,num_ts_regions,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,12,1,0.396,0,0.396,0.396
1,1,18,1,0.312,0,0.312,0.312
2,1,24,1,0.492,0,0.492,0.492
3,1,30,1,0.309,0,0.309,0.309
4,1,36,1,0.166,0,0.166,0.166
5,1,38,1,0.249,0,0.249,0.249
6,1,40,1,0.377,0,0.377,0.377
7,1,6,1,1.838,0,1.838,1.838
8,2,12,1,0.69,0,0.69,0.69
9,2,18,1,0.538,0,0.538,0.538
10,2,24,1,0.508,0,0.508,0.508
11,2,30,1,0.342,0,0.342,0.342
12,2,36,1,0.331,0,0.331,0.331
13,2,38,1,0.354,0,0.354,0.354
14,2,40,1,0.357,0,0.357,0.357
15,2,6,1,0.721,0,0.721,0.721
16,3,12,1,1.34,0,1.34,1.34
17,3,18,1,1.059,0,1.059,1.059
18,3,24,1,1.068,0,1.068,1.068
19,3,30,1,1.083,0,1.083,1.083
20,3,36,1,1.053,0,1.053,1.053
21,3,38,1,1.195,0,1.195,1.195
22,3,40,1,1.118,0,1.118,1.118
23,3,6,1,2.704,0,2.704,2.704
24,4,12,1,4.774,0,4.774,4.774
25,4,18,1,4.825,0,4.825,4.825
26,4,24,1,4.696,0,4.696,4.696
27,4,30,1,4.763,0,4.763,4.763
28,4,36,1,4.747,0,4.747,4.747
29,4,38,1,4.733,0,4.733,4.733
30,4,40,1,4.77,0,4.77,4.77
31,4,6,1,6.278,0,6.278,6.278
32,5,12,1,6.682,0,6.682,6.682
33,5,18,1,6.648,0,6.648,6.648
34,5,24,1,6.589,0,6.589,6.589
35,5,30,1,6.563,0,6.563,6.563
36,5,36,1,6.596,0,6.596,6.596
37,5,38,1,7.312,0,7.312,7.312
38,5,40,1,6.61,0,6.61,6.61
39,5,6,1,6.654,0,6.654,6.654
40,6,12,1,13.326,0,13.326,13.326
41,6,18,1,13.418,0,13.418,13.418
42,6,24,1,13.046,0,13.046,13.046
43,6,30,1,13.393,0,13.393,13.393
44,6,36,1,13.003,0,13.003,13.003
45,6,38,1,13.326,0,13.326,13.326
46,6,40,1,14.449,0,14.449,14.449
47,6,6,1,13.26,0,13.26,13.26
48,7,12,1,13.497,0,13.497,13.497
49,7,18,1,15.369,0,15.369,15.369
50,7,24,1,14.756,0,14.756,14.756
51,7,30,1,14.443,0,14.443,14.443
52,7,36,1,13.614,0,13.614,13.614
53,7,38,1,13.434,0,13.434,13.434
54,7,40,1,13.542,0,13.542,13.542
55,7,6,1,15.761,0,15.761,15.761
56,8,12,1,29.96,0,29.96,29.96
57,8,18,1,29.915,0,29.915,29.915
58,8,24,1,30.965,0,30.965,30.965
59,8,30,1,30.22,0,30.22,30.22
60,8,36,1,30.06,0,30.06,30.06
61,8,38,1,31.405,0,31.405,31.405
62,8,40,1,30.478,0,30.478,30.478
63,8,6,1,30.488,0,30.488,30.488
